2025-09-11 15:21:39.062157958 ,SRSR - 0000000000000000,426752
2025-09-11 15:21:39.062219363 ,SRRR - 0000000000000000,426752
2025-09-11 15:21:39.062232469 ,SRSS - 0000000000000000,426752
2025-09-11 15:21:39.06224606 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:39.062258359 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:39.062270187 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:39.062283123 ,SSRSSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:39.062294915 ,SSRSSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:39.062309095 ,SSRSSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:39.062321149 ,SSRSSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:39.062333727 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:39.673801123 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:39.673837091 ,SSRRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:39.673850541 ,SSRSSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:39.673863172 ,SSRSSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:39.673875498 ,SSRSSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:39.673887748 ,SSRSSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:39.673900867 ,SSRSSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:39.673912624 ,SSRSSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:39.673924456 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:39.673936462 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:39.673948269 ,SSRSSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:40.622654053 ,SSRSSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:40.622690258 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:40.622702035 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:40.622717028 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:40.622728235 ,SSRSSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:40.622743192 ,SSRSSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:40.622754311 ,SSRSSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:40.622765391 ,SSRSSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:40.622780285 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:40.622791217 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:40.622802899 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:41.442792293 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:41.442828378 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:41.442841294 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:41.442853834 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:41.442865699 ,SSRRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:41.442877374 ,SSRRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:41.442889147 ,SSRSSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:41.442901067 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:41.442912802 ,SSRSSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:41.442924513 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:41.442936202 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:42.092692808 ,SSRSSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:42.092731596 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:42.092745324 ,SSRRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:42.092758401 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:42.092774045 ,SSSRSSSSSSSSSS - 0000000000000000,426752
2025-09-11 15:21:42.092787905 ,SSRSSSSSSSSSSS - 0000000000000000,426752
