date, log
2025-08-07 12:11:50.450316649 +0200 CEST m=+7.233404038,"""terminate called after throwing an instance of '"""
2025-08-07 12:11:50.45092723 +0200 CEST m=+7.234014609,"""Wt::WException'
"""
2025-08-07 12:11:50.451707397 +0200 CEST m=+7.234794792,"""  what():  WRasterImage::done() image could not be converted to blob - is your image type supported by GraphicsMagick?
"""
2025-08-07 12:11:50.454045044 +0200 CEST m=+7.237132424,"""Magick: abort due to signal 6 (SIGABRT) "Abort"...
"""
2025-08-07 12:11:50.460073023 +0200 CEST m=+7.243160400,"""Aborted
"""
2025-08-07 12:11:50.460522061 +0200 CEST m=+7.243609437,""""""
2025-08-07 12:11:54.42637111 +0200 CEST m=+11.209458493,"""terminate called after throwing an instance of 'Wt::WException'
  what():  WRasterImage::done() image could not be converted to blob - is your image type supported by GraphicsMagick?
Magick: abort due to signal 6 (SIGABRT) "Abort"...
"""
